Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~10|ReportField=ProjectFileName~arduino_uno_PCB_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\arduino_uno_PCB_Project\arduino_uno_PCB_Project.PrjPcb|ReportField=Title~28Pins BOM Purchasing For Project [arduino_uno_PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~4:02:36 PM|ReportField=ReportDate~10/18/2021|ReportField=ReportDateTime~10/18/2021 4:02:36 PM|ReportField=OutputName~28Pins BOM Purchasing|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~99|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=.Designator~.Designator|ReportField=company~MMC|ReportField=NotFitted~NF|ReportField=Project~Arduino Uno 28Pin|ReportField=Title~28Pins|ReportField=VersionRevision~V1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~10/18/2021|ReportField=CurrentTime~3:25:27 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\arduino_uno_PCB_Project\28Pins_Project_V1I1 Project.SchDoc|ReportField=DocumentName~28Pins_Project_V1I1 Project.SchDoc|ReportField=DocumentNumber~5|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/4/2016|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.07:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=ProjectName~arduino_uno_PCB_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~5|ReportField=SheetTotal~5|ReportField=Time~|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=DataSourceFileName~arduino_uno_PCB_Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\arduino_uno_PCB_Project\arduino_uno_PCB_Project.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||Connectors, Interconnects Rectangular Connectors - Headers, Receptacles, Female Sockets|Female, 6 C, Straight, .100"CC; 3.20mm Tail, No Mt. 100u" Tin; PBT, Phos Bronze, 105 C|PPTC061LFBN-RC|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}S7004-ND{URL.TIP}Supplier||||
12||Connectors, Interconnects Rectangular Connectors - Headers, Receptacles, Female Sockets|CONN HDR 10POS 0.1 TIN PCB|PPTC101LFBN-RC|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}S7008-ND{URL.TIP}Supplier||||
13||Connectors, Interconnects,Rectangular Connectors - Headers, Male Pins|Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk|67997-206HLF|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|2|Digi-Key|||{URL}{URL.TEXT}609-3234-ND{URL.TIP}Supplier||||
14||Connectors, Interconnects USB, DVI, HDMI Connectors|CONN USB MICRO B RECPT SMT R/A|10118193-0001LF|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}609-4616-6-ND{URL.TIP}Supplier||||
15||Connectors, Interconnects,Rectangular Connectors - Headers, Male Pins|Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk|68001-203HLF|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|2|Digi-Key|||{URL}{URL.TEXT}609-3470-ND{URL.TIP}Supplier||||
16||Connectors, Interconnects,Rectangular Connectors - Headers, Male Pins|CONN HEADER 4POS .100 STR 15AU|67996-204HLF|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}609-3209-ND{URL.TIP}Supplier||||
17||Connectors, Interconnects,Rectangular Connectors - Headers, Male Pins|Board Connector, 4 Contact(s), 1 Row(s), Male, Straight, Solder Terminal|68002-404HLF|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}609-3305-ND{URL.TIP}Supplier||||
18|1210|Inductors, Coils, Chokes Fixed Inductors|KEMET         L1210R2R2MDWIT             Product Range:L-DWI Series|L1210R2R2MDWIT|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}399-9598-6-ND{URL.TIP}Supplier||||
19|100|Connectors, Interconnects Shunts, Jumpers|CONN JUMPER SHORTING .100" GOLD|QPC02SXGN-RC|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|3|Digi-Key|||{URL}{URL.TEXT}S9337-ND{URL.TIP}Supplier||||
20|0805|Resistors Chip Resistor - Surface Mount|Fixed Resistor, Metal Glaze/thick Film, 0.125W, 100000ohm, 150V, 1% +/-Tol, 50ppm/°C SMD 0805|RE0805FRE07100KL|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|Digi-Key|||{URL}{URL.TEXT}13-RE0805FRE07100KLDKR-ND{URL.TIP}Supplier||||
